word,x,y,cluster
玄関,3.2466192,5.6184516,-1
甘い,-11.616897,5.442351,1
生まれる,-1.174766,-0.049296975,19
生徒,-4.733431,10.543391,4
男,3.6842847,16.901394,10
男の子,3.5733488,17.315935,10
町,9.433624,12.554997,-1
留学生,-4.4728637,11.072278,4
番号,8.19747,-3.1146233,3
疲れる,3.5807078,4.9506674,-1
病気,3.6167274,4.870812,-1
病院,3.4503963,5.40545,-1
痛い,3.8198555,4.6057262,18
登る,3.110978,-1.852156,9
白,8.260729,-3.8639457,3
白い,8.248535,-3.906249,3
百,1.6371326,-8.605579,14
皆さん,1.5948182,-8.37416,-1
目,0.36077198,9.619778,6
眼鏡,0.42289406,9.713946,6
着く,1.036818,-0.9666419,17
着る,1.0452095,-0.99854106,17
知る,-4.3837056,10.975272,4
短い,-1.3002794,0.2812413,19
石鹸,8.292214,-4.036522,3
砂糖,8.397391,12.348059,-1
磨く,11.303912,13.09003,2
秋,2.152263,-10.431568,14
空,-0.99240893,-0.5352404,19
窓,0.4648378,9.846933,6
立つ,2.724355,-1.560816,9
答える,-4.246338,10.882514,4
箱,7.8474593,12.471786,13
箸,9.298034,12.244123,-1
紅茶,6.445558,13.444359,12
紙,1.320264,11.007623,6
細い,-1.2325948,0.15897954,19
終る,-0.75273055,-0.9152639,19
結婚,3.346253,18.117455,10
絵,1.3907942,10.929828,6
緑,8.214834,-3.6948702,3
締める,11.384874,13.237061,2
練習,-4.46021,10.976752,4
置く,-0.19261834,-1.061777,-1
美味しい,-11.537779,5.328683,1
習う,-4.478448,11.031594,4
耳,0.20603679,9.271996,6
聞く,0.4957856,11.188512,6
肉,5.0015993,10.148113,-1
背,-2.9132009,-5.8936014,15
背広,-9.143097,3.5132287,7
脱ぐ,3.4518645,-2.5566685,-1
自分,1.7824663,14.89529,5
自動車,1.8662103,14.926408,5
自転車,1.8118831,14.864346,5
色,-3.0697653,-5.258253,15
花,3.4444375,18.271982,10
花瓶,6.420233,13.468317,12
若い,-9.041295,3.6738534,7
英語,1.8156765,14.87412,-1
茶碗,6.4194536,13.477931,12
茶色,6.4095583,13.483655,12
荷物,7.594894,12.530809,13
葉書,1.2989129,11.016059,6
薄い,-1.3710693,0.41659695,19
薬,3.3510525,5.5559635,-1
行く,2.6113906,-1.4964352,9
西,-2.819433,-6.7134323,15
要る,-4.2378926,7.0063996,8
見せる,0.46101674,9.776182,6
見る,0.47632194,9.832981,6
覚える,-11.783401,6.015629,1
角,0.13389838,9.138334,6
言う,0.48446,11.216514,6
言葉,0.63902265,11.20706,6
話,0.49354094,11.227009,6
話す,0.49950245,11.194552,6
